Property Title,Location,Bedrooms,Price,Size,Listing Type,Price per sqm,is_studio,log_price,log_size,log_price_per_sqm
533,50,4,110.0,0.5267304275280517,0,-0.4832703536844642,0,0.40864897445293313,0.7199887796476847,-0.38104924339276813
1758,91,2,110.0,-0.47201657572887884,0,-0.04483053540252672,0,0.40864897445293313,-0.19854038699646756,0.22232662492668448
974,50,4,70.0,2.5641743141721896,0,-0.7838009200340831,0,0.04818459888781355,1.6550654174320376,-0.9347692847157159
1210,50,2,35.0,-0.6517910363151264,0,-0.5813214403184247,0,-0.4996796642403818,-0.4605178796343672,-0.5453243939705046
78,63,2,310.0,-0.47201657572887884,0,1.5494960765317913,0,1.2397393520788507,-0.19854038699646756,1.5516377160304802
382,64,3,18.0,0.2770436767138191,0,-0.8396023514517843,0,-1.0152114786960298,0.5427108813010901,-1.0570227176797098
785,64,4,350.0,1.5254774307849823,0,0.008579406097272892,0,1.337342007893507,1.2589533398731305,0.28472684841616663
454,20,2,35.0,0.12723162622527948,0,-0.7471314079595939,0,-0.4996796642403818,0.42381507459238166,-0.8583419891565046
501,50,2,40.0,0.5267304275280517,0,-0.7622775107729699,0,-0.39476865239149184,0.7199887796476847,-0.889554230298483
630,91,3,320.0,1.026103929156517,0,0.09865885967156185,0,1.2652692711109956,1.0164928103359805,0.3857225993990263
1048,63,2,140.0,-0.9713900773573441,0,1.3103470847416434,0,0.601630328167812,-1.1105434613025964,1.4006639996752486
110,91,3,175.0,-0.47201657572887884,0,0.47332561347612656,0,0.780490310118998,-0.19854038699646756,0.7581116472696154
553,50,2,40.0,-1.261026708301854,0,0.5968859259010362,0,-0.39476865239149184,-2.232748328089596,0.867056363524038
306,50,2,25.0,0.027356925899586427,0,-0.7885838998698861,0,-0.7621907915601083,0.33822718539776386,-0.9449583567947331
37,50,3,50.0,-0.47201657572887884,0,-0.5231285189828222,0,-0.21870827799518572,-0.19854038699646756,-0.44619818491497554
547,35,2,20.0,0.5267304275280517,0,-0.8419938413696857,0,-0.9344763433864722,0.7199887796476847,-1.0624340638329743
1645,73,2,250.0,-0.47201657572887884,0,1.0711980929514957,0,1.0668359874696,-0.19854038699646756,1.237268025202907
1644,77,2,165.0,-0.47201657572887884,0,0.3936092828794106,0,0.7333027006016215,-0.19854038699646756,0.6845156520842063
46,50,3,35.0,-0.47201657572887884,0,-0.642703014877896,0,-0.4996796642403818,-0.19854038699646756,-0.6555352743648303
219,20,3,15.0,-0.27226717507749276,0,-0.8220647587205068,0,-1.1538393193601955,0.04260238384824756,-1.0177835398076902
730,63,1,155.0,-1.1711394780087303,0,3.197232629965909,1,0.6831823527736937,-1.7750152546903595,2.3627265963732107
927,63,1,160.0,-1.071264777683037,0,2.2669430519022344,1,0.7086317224022762,-1.4018494959522987,1.945932881080329
673,15,2,90.0,1.4056277903941505,0,-0.672995220504648,0,0.24838567362760278,1.2046524109057544,-0.712264040455617
1190,62,2,190.0,-0.6717659763802649,0,0.9715526797056009,0,0.8464680554531274,-0.4930734874006623,1.1650104367377594
102,62,3,200.0,-0.47201657572887884,0,0.6726164399679163,0,0.887634033360516,-0.19854038699646756,0.9309914808041069
504,73,2,100.0,0.5267304275280517,0,-0.5231285189828222,0,0.3324907485062838,0.7199887796476847,-0.44619818491497554
1677,77,2,140.0,-0.47201657572887884,0,0.19431845638762082,0,0.601630328167812,-0.19854038699646756,0.487635435420599
969,62,2,450.0,2.524224434041913,0,-0.024901452753347816,0,1.5395609770877021,1.6418175295545714,0.2458400910821354
1746,62,2,1.0,-0.47201657572887884,0,-0.9137385389067301,0,-2.831279294521038,-0.19854038699646756,-1.2320325346049525
690,73,2,370.0,-0.1723924747517997,0,1.347016596816133,0,1.3820447523419315,0.14858770143123645,1.4245711090031596
265,74,3,360.0,-0.1723924747517997,0,1.2856350222566617,0,1.360002995515926,0.14858770143123645,1.3843888906433854
693,63,2,330.0,-0.47201657572887884,0,1.708928737725223,0,1.2900159390099735,-0.19854038699646756,1.6462682053493227
689,68,2,230.0,-0.5718912760545719,0,1.1158392380856568,0,0.9998532860927213,-0.33769899063362363,1.2688062223297187
74,40,2,100.0,-0.47201657572887884,0,-0.12454686599924268,0,0.3324907485062838,-0.19854038699646756,0.12538716997773916
73,20,2,15.0,-0.47201657572887884,0,-0.8021356760713279,0,-1.1538393193601955,-0.19854038699646756,-0.9741144258794642
1468,20,2,15.0,-0.47201657572887884,0,-0.8021356760713279,0,-1.1538393193601955,-0.19854038699646756,-0.9741144258794642
1912,82,2,200.0,-0.47201657572887884,0,0.6726164399679163,0,0.887634033360516,-0.19854038699646756,0.9309914808041069
972,63,2,160.0,2.524224434041913,0,-0.6028448495795381,0,0.7086317224022762,1.6418175295545714,-0.5832776858996831
1424,63,2,350.0,-0.3621544053706165,0,1.5917457317480506,0,1.337342007893507,-0.060559876282631854,1.5771569882470997
1333,74,1,250.0,-0.901477787129359,0,2.5746480880055578,1,1.0668359874696,-0.9388760791670845,2.0936862374114726
72,18,2,110.0,-0.47201657572887884,0,-0.04483053540252672,0,0.40864897445293313,-0.19854038699646756,0.22232662492668448
379,50,3,50.0,0.22710632655097254,0,-0.6873441600120569,0,-0.21870827799518572,0.5042438458260805,-0.7397115718282813
792,44,5,1.0,1.5254774307849823,0,-0.9193186820485003,0,-2.831279294521038,1.2589533398731305,-1.245850824687564
1498,11,2,50.0,-0.47201657572887884,0,-0.5231285189828222,0,-0.21870827799518572,-0.19854038699646756,-0.44619818491497554
1902,91,2,150.0,-1.1212021278458837,0,2.494931757408841,0,0.6569038691378764,-1.5754331939171557,2.056450051974411
542,11,2,8.0,0.5267304275280517,0,-0.8898236397277153,0,-1.6179729810142767,0.7199887796476847,-1.1738762452252591
158,74,2,250.0,-0.3721418754031858,0,0.8902420224969508,0,1.0668359874696,-0.07253048339069659,1.1040368794985704
487,62,2,100.0,-1.2710141783344233,0,3.0641063578693934,0,0.3324907485062838,-2.2948392324150717,2.308181146523189
496,4,2,125.0,0.5267304275280517,0,-0.4234831057369273,0,0.5108968009473297,0.7199887796476847,-0.2871641544582441
188,74,3,350.0,-0.31221705520776993,0,1.4833315221365169,0,1.337342007893507,-0.002266168674355995,1.5110031174841132
1426,63,3,210.0,-0.3721418754031858,0,0.6000745791249048,0,0.9268008575318087,-0.07253048339069659,0.8697902679128668
